Method,HopCount,Time
Socket,4,0ms
Socket,7,31ms
Socket,4,16ms
Socket,7,16ms
Socket,4,0ms
Socket,7,0ms
Socket,4,0ms
Socket,7,0ms
Socket,4,0ms
Socket,7,0ms
Socket,4,0ms
Socket,7,0ms
Socket,1,0ms
Socket,2,0ms
Socket,2,0ms
Socket,3,16ms
Socket,7,16ms
Socket,0,0ms
Socket,3,0ms
Socket,6,0ms
Socket,2,0ms
Socket,5,0ms
Socket,0,0ms
Socket,0,0ms
Socket,1,0ms
Socket,1,0ms
Socket,5,0ms
Socket,0,0ms
Socket,1,0ms
Socket,4,15ms
Socket,1,15ms
Socket,2,15ms
Socket,1,0ms
Socket,3,15ms
Socket,2,15ms
Socket,2,15ms
Socket,3,15ms
Socket,0,0ms
Socket,1,15ms
Socket,1,31ms
Socket,2,31ms
Socket,3,31ms
Socket,1,0ms
Socket,2,0ms
Socket,2,0ms
Socket,2,0ms
Socket,3,0ms
Socket,1,0ms
Socket,2,0ms
Socket,3,0ms
Socket,3,0ms
Socket,4,0ms
Socket,0,0ms
Socket,3,0ms
Socket,4,0ms
Socket,4,0ms
Socket,5,0ms
Socket,1,0ms
Socket,2,0ms
Socket,2,0ms
Socket,3,0ms
Socket,6,0ms
